913|285
924|286
1376|287
833|290
597|288
576|289
1709|114
1548|291
1613|576
1636|602
1611|577
1612|578
598|293
1029|292
1070|295
1059|294
1255|297
599|298
1775|184
970|299
1870|958
1410|650
1420|568
1496|396
1497|397
1498|398
1499|399
1409|698
1741|125
1051|878
807|848
1419|732
1283|324
600|849
1428|385
1619|584
1306|408
610|482
787|211
1159|845
1126|835
1698|944
1290|430
1780|185
1614|579
1593|302
916|836
1465|837
1615|580
601|838
1032|839
1467|304
1345|303
1664|634
1874|959
1782|521
1781|522
1527|103
1487|738
935|840
1617|582
1618|583
602|842
1403|312
1047|843
1679|51
1693|523
594|844
1390|824
1610|748
1875|960
823|749
1074|846
1125|186
927|847
1075|813
1484|850
1435|750
1061|863
1071|864
1092|865
977|866
1315|313
1535|868
1476|869
1281|305
1106|870
1151|306
1528|867
938|871
1639|605
1620|585
1768|187
1643|609
1637|603
1652|618
1389|823
1344|307
980|873
1767|188
1755|174
1770|189
1111|425
1812|773
1604|711
1402|308
1050|874
955|879
987|875
1621|586
1127|877
1872|961
705|876
1380|314
603|881
1538|751
582|880
813|882
1307|310
1037|884
1501|752
1623|588
1646|612
1624|589
1625|590
1658|624
1626|591
1627|592
937|885
775|886
928|887
1628|593
1257|311
1267|888
588|890
1058|891
1437|758
1113|892
1062|893
1019|894
1446|390
1447|391
1338|315
1258|316
1549|945
1661|629
1630|595
1631|596
1632|597
1671|598
1633|599
1634|600
569|926
1382|317
1635|601
1214|895
1482|729
1689|101
549|896
541|897
989|898
1291|431
1640|606
1292|432
930|899
990|900
967|901
1156|329
604|902
1391|330
761|903
1859|954
1026|927
993|904
621|906
1572|733
1688|977
1429|332
1668|734
1163|907
799|908
1722|117
605|909
623|910
1802|526
606|911
1279|333
1706|118
1595|735
1718|119
812|912
1468|347
1756|175
1814|775
1757|176
1461|736
1056|507
925|318
1284|319
1369|320
1737|120
805|321
1094|424
1734|121
708|571
1629|594
1206|349
1882|962
543|350
1861|956
1318|352
1879|963
1329|334
1377|353
1779|190
1700|126
780|354
608|335
1851|948
1684|127
1514|737
1832|940
1895|986
1896|987
1893|984
